Company,Funding Type,Money Raised,Announced On Date,Homepage
"Bestow, Inc.",Seed,"$2,500,000 ",8/29/2017,https://www.hellobestow.com
PrimaryIO,Seed,"$5,600,000 ",8/25/2017,
Polygram,Seed,"$2,100,000 ",8/25/2017,
Sahi Cosmetics,Seed,"$100,000 ",8/25/2017,
Romeo Power,Seed,"$30,000,000 ",8/24/2017,https://romeopower.com/
Square Roots Urban Growers,Seed,"$5,400,000 ",8/23/2017,http://www.squarerootsgrow.com
Gabi,Seed,"$2,600,000 ",8/23/2017,https://www.gabi.com/
Apic Bio,Seed,"$1,000,000 ",8/23/2017,https://www.apic-bio.com/
Indiez,Seed,"$500,000 ",8/23/2017,http://www.indiez.io
leap.ai,Seed,"$2,400,000 ",8/22/2017,https://www.leap.ai
Hubble Contacts,Series A,"$10,000,000 ",8/28/2017,http://hubblecontacts.com
Freenome,Series A,"$7,000,000 ",8/28/2017,http://www.freenome.com
Neuralink,Series A,"$26,960,000 ",8/25/2017,
Amitree,Series A,"$7,128,000 ",8/25/2017,http://amitree.com
New York Shipping Exchange (NYSHEX),Series A,"$13,000,000 ",8/24/2017,https://www.nyshex.com/
AutoFi,Series A,"$10,000,000 ",8/24/2017,http://www.autofi.com
Memphis Meats,Series A,"$17,000,000 ",8/23/2017,http://www.memphismeats.com/
Sliver.tv,Series A,"$9,800,000 ",8/23/2017,http://www.sliver.tv/
WorkSpan,Series A,"$9,000,000 ",8/23/2017,https://www.workspan.com
Truss,Series A,"$7,700,000 ",8/23/2017,http://www.buildtruss.com/
Descartes Labs,Series B,"$30,000,000 ",8/24/2017,http://www.descarteslabs.com/
"Lumity, Inc.",Series B,"$19,000,000 ",8/23/2017,http://www.lumity.com
"Forward Networks, Inc.",Series B,"$16,000,000 ",8/23/2017,http://www.forwardnetworks.com/
Bridg,Series B,"$11,000,000 ",8/23/2017,http://www.bridg.com
Roost,Series B,"$10,400,000 ",8/23/2017,https://www.roost.com/
Emailage,Series B,"$10,000,000 ",8/23/2017,http://www.emailage.com
stride health,Series B,"$23,500,000 ",8/22/2017,https://www.stridehealth.com
IndoorAtlas,Series B,"3,600,000",8/22/2017,http://www.indooratlas.com
Ripcord,Series B,"$25,000,000 ",8/17/2017,https://www.ripcord.com/
ZingBox,Series B,"$22,000,000 ",8/17/2017,http://www.zingbox.com
Ember Technologies,Series C,"$13,000,000 ",8/23/2017,http://www.embertech.com/
Versive,Series C,"$12,700,000 ",8/22/2017,http://www.versive.com
ThoughtSpot,Series C,"$60,000,000 ",8/17/2017,http://thoughtspot.com
Color Genomics,Series C,"$52,000,000 ",8/16/2017,https://www.color.com
Reverb.com,Series C,"$15,000,000 ",8/15/2017,http://www.reverb.com
Amplitude,Series C,"$30,000,000 ",8/10/2017,http://amplitude.com
DataRobot,Series C,"$67,180,000 ",7/27/2017,http://datarobot.com
"August Home, Inc.",Series C,"$25,000,000 ",7/26/2017,http://www.august.com
Effector Therapeutics,Series C,"$38,600,000 ",7/24/2017,http://effector.com
Lever,Series C,"$40,000,000 ",7/19/2017,https://www.lever.co/
Blend,Series D,"$100,000,000 ",8/24/2017,https://www.blend.com
Databricks,Series D,"$140,000,000 ",8/22/2017,https://databricks.com
Coinbase,Series D,"$100,000,000 ",8/10/2017,https://www.coinbase.com
Super Evil Mega Corp,Series D,"$19,000,000 ",8/9/2017,http://www.superevilmegacorp.com
Desktop Metal,Series D,"$115,000,000 ",7/17/2017,http://www.desktopmetal.com
CloudHealth Technologies,Series D,"$46,000,000 ",6/27/2017,http://www.cloudhealthtech.com
Catalant,Series D,"$41,000,000 ",6/27/2017,http://www.gocatalant.com
Cybereason,Series D,"$100,000,000 ",6/20/2017,http://www.cybereason.com
Illumio,Series D,"$125,000,000 ",6/7/2017,http://www.illumio.com
Coursera,Series D,"$64,000,000 ",6/7/2017,http://www.coursera.org
